date,day_name,month,season_factor,weekend,occupancy_level,outdoor_temp_c,rainfall_mm,saving_mode,total_usage_kwh,peak_usage_kwh,peak_hour_label,peak_window,average_hourly_kwh,daily_cost_rs,monthly_predicted_bill_rs,future_bill_prediction_rs,tomorrow_usage_prediction_kwh,previous_day_usage_kwh,weekly_average_kwh,usage_change_kwh,usage_change_direction,usage_change_reason,energy_score,eco_score,carbon_impact_kg,carbon_saved_kg,pet_status,pet_meter_pct,pet_message,pet_alert,streak_days,reward_badge,alert_count,recommendation_count,alerts_pipe,recommendations_pipe,personalized_tip_1,personalized_tip_2,personalized_tip_3,hour_00_kwh,hour_01_kwh,hour_02_kwh,hour_03_kwh,hour_04_kwh,hour_05_kwh,hour_06_kwh,hour_07_kwh,hour_08_kwh,hour_09_kwh,hour_10_kwh,hour_11_kwh,hour_12_kwh,hour_13_kwh,hour_14_kwh,hour_15_kwh,hour_16_kwh,hour_17_kwh,hour_18_kwh,hour_19_kwh,hour_20_kwh,hour_21_kwh,hour_22_kwh,hour_23_kwh,ac_power_w,ac_hours,ac_age_years,ac_condition,ac_maintenance,ac_energy_kwh,ac_cost_rs,ac_share_pct,ac_faulty,ac_limit_kwh,fan_power_w,fan_hours,fan_age_years,fan_condition,fan_maintenance,fan_energy_kwh,fan_cost_rs,fan_share_pct,fan_faulty,fan_limit_kwh,iron_power_w,iron_hours,iron_age_years,iron_condition,iron_maintenance,iron_energy_kwh,iron_cost_rs,iron_share_pct,iron_faulty,iron_limit_kwh,tv_power_w,tv_hours,tv_age_years,tv_condition,tv_maintenance,tv_energy_kwh,tv_cost_rs,tv_share_pct,tv_faulty,tv_limit_kwh
2026-03-16,Monday,March,1.102,0,medium,30.9,3.6,0,23.07,1.7,7 PM,6 PM-8 PM,0.96,138.42,4152.6,4366.02,23.03,22.92,22.69,0.15,increased,AC health issue increased consumption,53,49,18.92,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,6,4,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault|phantom_load_tv,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,TV standby may be wasting power,0.32,0.21,0.2,0.2,0.29,0.37,0.81,1.14,1.12,0.73,0.68,0.7,0.84,0.74,0.69,0.7,0.93,1.18,1.51,1.7,1.54,1.15,0.83,0.52,1519,8.9,4,good,yes,13.52,81.12,74.9,1,9.0,132,12.9,3,good,yes,1.7,10.2,9.4,1,1.6,1266,2.1,5,good,yes,2.66,15.96,14.7,1,2.2,40,4.5,4,standby,yes,0.18,1.08,1.0,0,1.1
2026-03-17,Tuesday,March,1.105,0,high,30.0,3.2,0,22.9,1.73,7 PM,6 PM-8 PM,0.95,137.4,4122.0,4536.11,22.95,23.07,22.85,-0.17,decreased,AC health issue increased consumption,54,50,18.78,0.14,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,6,5,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault|tv_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.24,0.29,0.21,0.26,0.23,0.39,0.77,1.12,1.03,0.77,0.65,0.77,0.8,0.79,0.7,0.78,0.93,1.11,1.57,1.73,1.58,1.1,0.87,0.45,1599,8.4,4,good,yes,13.43,80.58,78.5,1,9.0,102,11.4,3,good,no,1.16,6.96,6.8,1,1.6,1269,1.8,5,good,yes,2.28,13.68,13.3,1,2.2,47,5.0,4,slow,no,0.23,1.38,1.3,1,1.1
2026-03-18,Wednesday,March,1.107,0,low,30.5,2.1,0,23.9,1.71,7 PM,6 PM-8 PM,1.0,143.4,4302.0,4667.17,23.6,22.9,23.03,1.0,increased,AC health issue increased consumption,50,45,19.6,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,4,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.28,0.22,0.26,0.26,0.24,0.5,0.82,1.18,1.14,0.83,0.77,0.71,0.91,0.78,0.73,0.79,0.95,1.15,1.64,1.71,1.63,1.12,0.89,0.51,1526,8.4,4,overheat,no,12.82,76.92,72.7,1,9.0,184,12.4,3,good,yes,2.28,13.68,12.9,1,1.6,1215,1.9,5,good,yes,2.31,13.86,13.1,1,2.2,60,3.7,4,good,yes,0.22,1.32,1.2,0,1.1
2026-03-19,Thursday,March,1.11,0,low,30.2,5.5,0,22.51,1.69,7 PM,6 PM-8 PM,0.94,135.06,4051.8,3895.5,22.93,23.9,22.88,-1.39,decreased,AC health issue increased consumption,55,52,18.46,1.14,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,4,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.24,0.28,0.25,0.17,0.26,0.48,0.84,1.16,1.12,0.75,0.71,0.69,0.79,0.76,0.74,0.72,0.95,1.18,1.55,1.69,1.59,1.13,0.85,0.49,1518,6.9,4,good,yes,10.47,62.82,73.9,1,9.0,194,13.6,3,good,yes,2.64,15.84,18.6,1,1.6,1285,0.4,5,good,no,0.51,3.06,3.6,1,2.2,151,3.6,4,good,yes,0.54,3.24,3.8,0,1.1
2026-03-20,Friday,March,1.112,0,medium,30.8,5.0,1,19.56,1.55,7 PM,6 PM-8 PM,0.81,117.36,3520.8,3752.06,20.45,22.51,22.45,-2.95,decreased,AC health issue increased consumption,66,65,16.04,2.42,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,4,4,sudden_spike|pet_suffering|ac_fault|fan_fault,replace_ac_efficient_model|replace_fan_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.31,0.7,1.02,0.89,0.56,0.54,0.59,0.7,0.56,0.63,0.66,0.78,1.02,1.42,1.55,1.41,0.94,0.65,0.33,1503,9.0,4,good,yes,13.53,81.18,82.7,1,9.0,177,13.6,3,good,yes,2.41,14.46,14.7,1,1.6,1168,0.2,5,good,yes,0.23,1.38,1.4,0,2.2,34,5.6,4,good,yes,0.19,1.14,1.2,0,1.1
2026-03-21,Saturday,March,1.114,1,high,31.5,0.8,0,24.68,1.74,7 PM,6 PM-8 PM,1.03,148.08,4442.4,4348.42,23.14,19.56,22.79,5.12,increased,AC health issue increased consumption,47,38,20.24,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,6,4,overall_limit_exceeded|sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.31,0.24,0.29,0.22,0.33,0.47,0.91,1.26,1.1,0.81,0.75,0.79,0.88,0.87,0.74,0.77,0.9,1.22,1.61,1.74,1.58,1.17,0.89,0.55,1466,9.3,4,good,yes,13.63,81.78,70.1,1,9.0,162,11.4,3,good,yes,1.85,11.1,9.5,1,1.6,1310,2.6,5,good,yes,3.41,20.46,17.5,1,2.2,104,5.3,4,good,yes,0.55,3.3,2.8,0,1.1
2026-03-22,Sunday,March,1.117,1,medium,30.7,5.2,0,23.01,1.76,7 PM,6 PM-8 PM,0.96,138.06,4141.8,4605.73,23.51,24.68,22.8,-1.67,decreased,AC health issue increased consumption,53,51,18.87,1.37,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,4,sudden_spike|pet_suffering|ac_fault|fan_fault|tv_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.33,0.24,0.26,0.19,0.25,0.37,0.86,1.15,1.05,0.74,0.7,0.79,0.85,0.76,0.76,0.8,0.91,1.19,1.54,1.76,1.49,1.08,0.86,0.48,1615,7.2,4,good,yes,11.63,69.78,71.0,1,9.0,194,11.4,3,good,yes,2.21,13.26,13.5,1,1.6,1282,1.4,5,good,yes,1.79,10.74,10.9,0,2.2,142,5.3,4,slow,no,0.75,4.5,4.6,1,1.1
2026-03-23,Monday,March,1.119,0,high,33.3,3.4,0,22.22,1.79,7 PM,6 PM-8 PM,0.93,133.32,3999.6,4238.38,22.46,23.01,22.68,-0.79,decreased,AC health issue increased consumption,56,53,18.22,0.65,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,4,3,sudden_spike|pet_suffering|ac_fault|fan_fault,replace_ac_efficient_model|replace_fan_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.25,0.26,0.23,0.17,0.3,0.41,0.78,1.18,1.1,0.71,0.74,0.72,0.83,0.81,0.74,0.75,0.96,1.24,1.56,1.79,1.54,1.07,0.89,0.57,1523,6.9,4,good,yes,10.51,63.06,88.4,1,9.0,28,11.7,3,good,no,0.33,1.98,2.8,1,1.6,1151,0.8,5,good,yes,0.92,5.52,7.7,0,2.2,29,4.5,4,good,yes,0.13,0.78,1.1,0,1.1
2026-03-24,Tuesday,March,1.121,0,low,27.1,1.9,0,23.09,1.73,7 PM,6 PM-8 PM,0.96,138.54,4156.2,4545.37,22.83,22.22,22.71,0.87,increased,AC health issue increased consumption,53,48,18.93,0,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,2,sudden_spike|ac_fault,replace_ac_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.34,0.26,0.23,0.24,0.3,0.42,0.88,1.24,1.1,0.8,0.75,0.75,0.9,0.78,0.8,0.75,0.97,1.17,1.57,1.73,1.55,1.11,0.84,0.55,1471,7.7,4,good,yes,11.33,67.98,81.6,1,9.0,36,11.2,3,good,yes,0.4,2.4,2.9,0,1.6,1173,1.6,5,good,yes,1.88,11.28,13.5,0,2.2,80,3.5,4,good,yes,0.28,1.68,2.0,0,1.1
2026-03-25,Wednesday,March,1.124,0,low,31.6,2.0,1,20.21,1.58,7 PM,6 PM-8 PM,0.84,121.26,3637.8,3558.09,21.07,23.09,22.18,-2.88,decreased,AC health issue increased consumption,63,62,16.57,2.36,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,3,sudden_spike|ac_fault,replace_ac_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.19,0.14,0.14,0.14,0.16,0.3,0.75,1.04,0.91,0.66,0.62,0.66,0.71,0.68,0.6,0.59,0.83,1.1,1.4,1.58,1.45,0.97,0.75,0.45,1488,9.1,4,good,no,13.54,81.24,87.8,1,9.0,41,11.4,3,good,yes,0.47,2.82,3.0,0,1.6,1236,0.5,5,good,yes,0.62,3.72,4.0,0,2.2,142,5.6,4,good,yes,0.8,4.8,5.2,0,1.1
2026-03-26,Thursday,March,1.126,0,medium,33.8,2.2,1,20.58,1.63,7 PM,6 PM-8 PM,0.86,123.48,3704.4,4141.69,20.47,20.21,21.91,0.37,increased,AC health issue increased consumption,62,58,16.88,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,4,4,sudden_spike|pet_suffering|ac_fault|fan_fault,replace_ac_efficient_model|replace_fan_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.2,0.14,0.14,0.14,0.16,0.34,0.71,1.11,1.02,0.66,0.62,0.61,0.73,0.71,0.6,0.59,0.8,1.0,1.5,1.63,1.46,1.02,0.67,0.45,1506,8.2,4,good,yes,12.35,74.1,76.1,1,9.0,153,11.4,3,good,yes,1.74,10.44,10.7,1,1.6,1183,1.1,5,good,yes,1.3,7.8,8.0,0,2.2,184,4.5,4,good,yes,0.83,4.98,5.1,0,1.1
2026-03-27,Friday,March,1.128,0,low,26.7,1.7,0,23.95,1.82,7 PM,6 PM-8 PM,1.0,143.7,4311.0,4367.54,22.94,20.58,22.53,3.37,increased,AC health issue increased consumption,50,43,19.64,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,4,sudden_spike|pet_suffering|ac_fault|fan_fault|tv_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.32,0.27,0.25,0.2,0.33,0.44,0.84,1.21,1.13,0.8,0.72,0.82,0.84,0.82,0.78,0.75,0.95,1.2,1.68,1.82,1.54,1.14,0.81,0.56,1443,8.9,4,good,yes,12.84,77.04,75.8,1,9.0,158,11.9,3,good,yes,1.88,11.28,11.1,1,1.6,1172,1.5,5,good,yes,1.76,10.56,10.4,0,2.2,107,4.4,4,slow,no,0.47,2.82,2.8,1,1.1
2026-03-28,Saturday,March,1.13,1,medium,32.1,2.7,0,25.03,1.79,7 PM,6 PM-8 PM,1.04,150.18,4505.4,4746.98,24.71,23.95,22.58,1.08,increased,AC health issue increased consumption,46,41,20.52,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,6,4,overall_limit_exceeded|sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.27,0.3,0.22,0.22,0.34,0.52,0.83,1.24,1.16,0.74,0.69,0.74,0.92,0.85,0.72,0.82,0.91,1.27,1.61,1.79,1.63,1.18,0.82,0.54,1582,9.0,4,good,yes,14.24,85.44,66.7,1,9.0,192,13.5,3,good,yes,2.59,15.54,12.1,1,1.6,1270,2.8,5,good,no,3.56,21.36,16.7,1,2.2,155,6.2,4,good,yes,0.96,5.76,4.5,0,1.1
2026-03-29,Sunday,March,1.132,1,low,33.8,0,0,24.48,1.8,7 PM,6 PM-8 PM,1.02,146.88,4406.4,4311.51,24.64,25.03,22.79,-0.55,decreased,AC health issue increased consumption,48,45,20.07,0.45,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,3,overall_limit_exceeded|sudden_spike|pet_suffering|ac_fault|iron_fault,replace_ac_efficient_model|replace_iron_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.34,0.23,0.29,0.19,0.32,0.48,0.84,1.28,1.13,0.81,0.76,0.75,0.88,0.81,0.75,0.84,0.91,1.24,1.67,1.8,1.64,1.16,0.85,0.58,1561,8.5,4,good,no,13.27,79.62,74.3,1,9.0,69,12.9,3,good,yes,0.89,5.34,5.0,0,1.6,1153,2.9,5,good,yes,3.34,20.04,18.7,1,2.2,65,5.6,4,good,yes,0.36,2.16,2.0,0,1.1
2026-03-30,Monday,March,1.134,0,medium,31.0,1.0,0,23.65,1.78,7 PM,6 PM-8 PM,0.99,141.9,4257.0,4299.67,23.9,24.48,23.0,-0.83,decreased,AC health issue increased consumption,51,48,19.39,0.68,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,2,sudden_spike|ac_fault,replace_ac_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.34,0.32,0.25,0.28,0.3,0.41,0.81,1.23,1.08,0.74,0.71,0.82,0.95,0.85,0.73,0.75,0.99,1.19,1.63,1.78,1.6,1.17,0.89,0.56,1477,8.8,4,good,yes,13.0,78.0,87.4,1,9.0,55,12.5,3,good,yes,0.69,4.14,4.6,0,1.6,1298,0.5,5,good,yes,0.65,3.9,4.4,0,2.2,117,4.5,4,good,yes,0.53,3.18,3.6,0,1.1
2026-03-31,Tuesday,March,1.136,0,medium,30.9,4.3,1,18.96,1.56,7 PM,6 PM-8 PM,0.79,113.76,3412.8,3576.7,20.37,23.65,22.41,-4.69,decreased,AC health issue increased consumption,68,69,15.55,3.85,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,3,sudden_spike|ac_fault,replace_ac_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.29,0.7,1.04,0.96,0.63,0.51,0.62,0.67,0.63,0.64,0.57,0.82,1.07,1.4,1.56,1.39,0.94,0.64,0.41,1421,7.7,4,good,yes,10.94,65.64,87.0,1,9.0,34,11.3,3,good,yes,0.38,2.28,3.0,0,1.6,1272,0.2,5,good,yes,0.25,1.5,2.0,0,2.2,177,5.7,4,good,yes,1.01,6.06,8.0,0,1.1
2026-04-01,Wednesday,April,1.138,0,high,30.7,5.4,0,22.94,1.79,7 PM,6 PM-8 PM,0.96,137.64,4129.2,4175.65,21.75,18.96,22.8,3.98,increased,AC health issue increased consumption,53,45,18.81,0,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,2,sudden_spike|ac_fault,replace_ac_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.24,0.24,0.21,0.21,0.23,0.4,0.8,1.19,1.09,0.73,0.74,0.76,0.93,0.84,0.8,0.72,0.95,1.19,1.65,1.79,1.6,1.19,0.87,0.51,1449,7.9,4,good,yes,11.45,68.7,82.4,1,9.0,67,11.2,3,good,yes,0.75,4.5,5.4,0,1.6,1317,0.8,5,good,yes,1.05,6.3,7.6,0,2.2,134,4.8,4,good,yes,0.64,3.84,4.6,0,1.1
2026-04-02,Thursday,April,1.14,0,high,27.2,3.9,1,19.65,1.58,7 PM,6 PM-8 PM,0.82,117.9,3537.0,3875.56,20.64,22.94,22.67,-3.29,decreased,AC health issue increased consumption,65,64,16.11,2.7,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,3,3,sudden_spike|ac_fault|phantom_load_tv,replace_ac_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,TV standby may be wasting power,0.14,0.14,0.14,0.14,0.14,0.3,0.72,1.02,0.99,0.65,0.58,0.59,0.75,0.59,0.61,0.56,0.79,0.99,1.4,1.58,1.39,0.92,0.73,0.42,1524,7.9,4,good,yes,12.04,72.24,78.5,1,9.0,105,12.0,3,good,yes,1.26,7.56,8.2,0,1.6,1150,1.2,5,good,yes,1.38,8.28,9.0,0,2.2,178,3.7,4,standby,yes,0.66,3.96,4.3,0,1.1
2026-04-03,Friday,April,1.142,0,high,28.9,0.8,0,23.83,1.82,7 PM,6 PM-8 PM,0.99,142.98,4289.4,4702.13,22.58,19.65,22.65,4.18,increased,AC health issue increased consumption,50,42,19.54,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,4,sudden_spike|pet_suffering|ac_fault|iron_fault|tv_fault,replace_ac_efficient_model|replace_iron_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.27,0.31,0.24,0.23,0.33,0.47,0.87,1.2,1.13,0.84,0.75,0.84,0.86,0.86,0.83,0.85,0.99,1.22,1.69,1.82,1.62,1.12,0.82,0.57,1557,8.3,4,overheat,no,12.92,77.52,91.6,1,9.0,49,12.2,3,good,yes,0.6,3.6,4.3,0,1.6,1251,0.2,5,good,no,0.25,1.5,1.8,1,2.2,84,4.0,4,good,no,0.34,2.04,2.4,1,1.1
2026-04-04,Saturday,April,1.144,1,medium,34.1,4.3,0,23.68,1.82,7 PM,6 PM-8 PM,0.99,142.08,4262.4,4283.28,23.73,23.83,22.46,-0.15,decreased,AC health issue increased consumption,51,47,19.42,0.12,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,3,sudden_spike|pet_suffering|ac_fault|tv_fault|phantom_load_tv,replace_ac_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,TV standby may be wasting power,0.31,0.19,0.24,0.18,0.24,0.45,0.89,1.2,1.14,0.74,0.69,0.71,0.84,0.8,0.73,0.8,0.95,1.16,1.62,1.82,1.64,1.1,0.83,0.56,1602,8.8,4,good,yes,14.1,84.6,80.5,1,9.0,87,11.5,3,good,yes,1.0,6.0,5.7,0,1.6,1242,1.5,5,good,yes,1.86,11.16,10.6,0,2.2,98,5.6,4,standby,no,0.55,3.3,3.1,1,1.1
2026-04-05,Sunday,April,1.146,1,high,28.2,4.4,0,23.82,1.78,7 PM,6 PM-8 PM,0.99,142.92,4287.6,4297.45,23.78,23.68,22.36,0.14,increased,AC health issue increased consumption,50,46,19.53,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,4,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.24,0.19,0.16,0.21,0.22,0.45,0.83,1.23,1.17,0.78,0.72,0.82,0.87,0.84,0.73,0.75,0.97,1.24,1.59,1.78,1.59,1.13,0.85,0.55,1577,8.6,4,good,yes,13.56,81.36,76.3,1,9.0,30,12.3,3,good,no,0.37,2.22,2.1,1,1.6,1288,2.6,5,good,no,3.35,20.1,18.9,1,2.2,111,4.4,4,good,yes,0.49,2.94,2.8,0,1.1
2026-04-06,Monday,April,1.148,0,high,28.5,0,0,24.55,1.8,7 PM,6 PM-8 PM,1.02,147.3,4419.0,4751.49,24.33,23.82,22.49,0.73,increased,AC health issue increased consumption,48,43,20.13,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,7,5,overall_limit_exceeded|sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault|tv_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.37,0.26,0.25,0.24,0.26,0.53,0.85,1.28,1.15,0.84,0.79,0.76,0.91,0.8,0.8,0.8,0.98,1.28,1.65,1.8,1.67,1.17,0.87,0.61,1544,8.9,4,good,yes,13.74,82.44,83.2,1,9.0,-4,12.5,3,noise,no,-0.05,-0.3,-0.3,1,1.6,1251,1.5,5,overheat,no,1.88,11.28,11.4,1,2.2,174,5.4,4,slow,no,0.94,5.64,5.7,1,1.1
2026-04-07,Tuesday,April,1.15,0,medium,28.4,0.0,1,20.67,1.72,7 PM,6 PM-8 PM,0.86,124.02,3720.6,3979.18,21.83,24.55,22.73,-3.88,decreased,AC health issue increased consumption,62,62,16.95,3.18,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,4,4,sudden_spike|pet_suffering|ac_fault|iron_fault,replace_ac_efficient_model|replace_iron_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.17,0.26,0.72,1.04,0.96,0.61,0.64,0.65,0.76,0.62,0.65,0.68,0.78,1.03,1.48,1.72,1.51,0.97,0.76,0.42,1569,9.0,4,good,no,14.12,84.72,84.4,1,9.0,62,11.6,3,good,yes,0.72,4.32,4.3,0,1.6,1236,1.4,5,slow,no,1.73,10.38,10.3,1,2.2,47,3.5,4,good,yes,0.16,0.96,1.0,0,1.1
2026-04-08,Wednesday,April,1.151,0,low,33.3,2.7,0,24.27,1.86,7 PM,6 PM-8 PM,1.01,145.62,4368.6,4559.1,23.19,20.67,22.92,3.6,increased,AC health issue increased consumption,49,41,19.9,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,6,3,overall_limit_exceeded|sudden_spike|pet_suffering|ac_fault|tv_fault|phantom_load_tv,replace_ac_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,TV standby may be wasting power,0.32,0.29,0.2,0.28,0.31,0.43,0.87,1.21,1.17,0.85,0.8,0.83,0.93,0.84,0.77,0.76,0.97,1.21,1.69,1.86,1.61,1.19,0.92,0.6,1598,8.4,4,good,yes,13.42,80.52,88.0,1,9.0,60,12.4,3,good,yes,0.74,4.44,4.9,0,1.6,1141,0.5,5,good,yes,0.57,3.42,3.7,0,2.2,124,4.2,4,standby,no,0.52,3.12,3.4,1,1.1
